Headlines,Author_Dates,Summaries,Author,Date
"Nothing wrong with JEE exam data, says testing agency after Subramanian Swamy contests it","Kritika Sharma - 10 September, 2020","National Testing Agency, that conducts JEE (Mains), gave out 2 totals of students who registered for the exam since candidates may have appeared for more than one exam.",Kritika Sharma ," 10 September, 2020"
"Delhi pubs reopen with no loud music, AC at 24°C & WhatsApp menus but Delhiites cry ‘freedom’","Bismee Taskin - 10 September, 2020","Turnout was low as pubs and bars across Delhi reopened Wednesday. They will function at 50% capacity until 30 September, when the authorities will review the 'trial'.",Bismee Taskin ," 10 September, 2020"
Actor and former BJP MP Paresh Rawal is new NSD chairperson,"Neelam Pandey - 10 September, 2020","Paresh Rawal, appointed for 4 years, replaces playwright and theatre director Ratan Thiyam who was NSD chairman from 2013 until 2017.",Neelam Pandey ," 10 September, 2020"
"ED questions Kerala ex-minister Kodiyeri’s son over ‘links’ to gold smuggling, drugs cases","Rohini Swamy - 10 September, 2020","Bineesh Kodiyeri, son of Kerala CPI(M) state secretary and former minister Kodiyeri Balakrishnan, is also being probed by Bengaluru Crime Branch in a drug racket case.",Rohini Swamy ," 10 September, 2020"
"Health Ministry asks states, UTs to retest all symptomatic negative cases of antigen tests","PTI - 10 September, 2020","The ministry said it has noted that in some large states, symptomatic cases tested negative by rapid antigen test are not being followed up by RT-PCR testing.",PTI ," 10 September, 2020"
Rs 6 lakh stolen from Ayodhya’s Ram Mandir trust through two fake cheques,"Prashant Srivastava - 10 September, 2020",The fraud was detected during verification process of a third fake cheque. An FIR has been lodged and police are investigating.,Prashant Srivastava ," 10 September, 2020"
"Legendary statistician CR Rao, credited with restructuring field of statistics, turns 100","Sandhya Ramesh - 10 September, 2020","Indian-American statistician CR Rao is known for making seminal contributions to statistics such as development of Cramér-Rao Lower Bound, Rao-Blackwellization, & Lagrange multiplier test.",Sandhya Ramesh ," 10 September, 2020"
"Delhi Police fabricating evidence in cop injury case, claims lawyer for 6 riot-accused men","Fatima Khan - 10 September, 2020","Charge sheet pertains to alleged injuries suffered by 2 Delhi cops during the Northeast Delhi riots, and the killing of head constable Ratan Lal.",Fatima Khan ," 10 September, 2020"
"55% Bihar voters don’t want Sushant Singh Rajput death to be poll issue, AI-driven survey says","Revathi Krishnan - 10 September, 2020","The survey, conducted earlier this week by Mumbai-based AI start-up Prashnam, also stated that 80% of registered voters in Bihar know about Rajput and his death.",Revathi Krishnan ," 10 September, 2020"
MHA allows Amritsar group to accept foreign funds to run langar for Golden temple devotees,"PTI - 10 September, 2020","With the granting of the FCRA registration, the organisation can now take foreign contributions to help run langar services and help the poor and needy.",PTI ," 10 September, 2020"
"India registers 89,706 fresh Covid cases in a day, total crosses 43 lakh","PTI - 9 September, 2020","While 33,98,844 people recovered from the virus, India's death toll rose to 73,890 with 1,115 people succumbing to the disease in a span of 24 hours.",PTI ," 9 September, 2020"
French Defence Minister Florence Parly to attend Rafale induction ceremony in Ambala,"PTI - 9 September, 2020","Five Rafale fighter jets, that arrived in India on 29 July, will be formally inducted into the IAF Thursday. A second batch of four to five jets is likely to arrive by November.",PTI ," 9 September, 2020"
Bihar politicians could get to spend more as EC plans to hike poll expense limit by 10-15%,"Sanya Dhingra - 9 September, 2020","EC's raised limit will apply to all elections during Covid, including MP bypolls. As of now, limit for each candidate is Rs 50-70 lakh for Lok Sabha polls and Rs 20-28 lakh for assembly polls.",Sanya Dhingra ," 9 September, 2020"
Modi govt wants farmers to pay for groundwater but puts onus on states to get them to do it,"Moushumi Das Gupta - 9 September, 2020","In draft guidelines to regulate groundwater, Modi govt has advised states to bring in suitable water pricing policy and review free or subsidised electricity to agriculture sector.",Moushumi Das Gupta ," 9 September, 2020"
"Minor tribal sisters gang raped in West Bengal, both consume poison, one dies","PTI - 9 September, 2020","The sisters, aged 16 and 14, had gone out with some youths on 4 September and went missing for two days, the family said. They also said the two consumed poison after coming back home.",PTI ," 9 September, 2020"
"Shorter classes, fewer students, no public transport — what going back to school will be like","Kritika Sharma - 9 September, 2020",The Centre has allowed schools to reopen campuses after 21 September under Unlock 4. Some schools have come up with strategies while others are waiting for state guidelines.,Kritika Sharma ," 9 September, 2020"
Hurdle to investment or disaster in the making? Environmental rules change sparks debate,"Swansy Afonso - 9 September, 2020",Modi govt argues environmental impact assessment rules are too onerous & deter investment in an economy that shrank almost 24% in Q1.,Swansy Afonso ," 9 September, 2020"
"New industries in ‘over-exploited’ areas won’t get NOC to extract groundwater, govt proposes","Moushumi Das Gupta - 9 September, 2020","The draft guidelines to regulate groundwater propose levying Rs 1 lakh environment compensation charge, and hefty penalties of up to Rs 10 lakh for violations.",Moushumi Das Gupta ," 9 September, 2020"
"China’s PLA confirms finding 5 missing Arunachal youths, says Kiren Rijiju","PTI - 8 September, 2020","Five youths, part of a hunting group, reportedly went missing Friday from the Sino-Indian border in the Upper Subansiri district of Arunachal Pradesh.",PTI ," 8 September, 2020"
"Delhi Metro restart — hopeless autos, 3-step sanitisation & deserted Rajiv Chowk","Soham Sen - 8 September, 2020",A visual journalist takes the Delhi Metro to see how things have changed since its shutdown due to Covid-19.,Soham Sen ," 8 September, 2020"
"KCR’s Covid response better now, but Telangana healthcare still needs improving, says governor","Rishika Sadam - 9 September, 2020","Governor Tamilisai Soundararajan said had the KCR govt stepped up efforts early on, Telangana would not have faced the Covid crisis it has.",Rishika Sadam ," 9 September, 2020"
BJP leaders booked for organising Kalash Yatra in poll-bound Indore amid Covid,"Milind Ghatwai - 9 September, 2020","Hundreds of women, few wearing masks, took part in the yatras, which started on 3 September. BJP leaders say it will be held for two more days.",Milind Ghatwai ," 9 September, 2020"
Delhi Police to deploy 2-member teams to prosecute Covid guideline violations,"Revathi Krishnan - 9 September, 2020","Delhi Police Wednesday announced that two member teams will prosecute violations, create awareness about norms & even distribute masks to the poor.",Revathi Krishnan ," 9 September, 2020"
"All about drugs cases against actors Rhea Chakraborty, Ragini Dwivedi & Sanjjanaa Galrani","Bismee Taskin - 9 September, 2020","While Rhea Chakraborty was arrested Tuesday by NCB, Ragini Dwivedi was held Friday and Sanjjanaa Galrani arrested Tuesday by the Central Crime Branch of Bengaluru.",Bismee Taskin ," 9 September, 2020"
Another elephant found dead in Kerala with severe injuries in its mouth,"Rohini Swamy - 9 September, 2020","The latest incident has occurred in the remote Attapadi region, which is close to Mannarkkad where a pregnant elephant had died 3 months ago.",Rohini Swamy ," 9 September, 2020"
14 reasons why BMC has taken a bulldozer to Kangana Ranaut’s office in Mumbai,"Manasi Phadke - 9 September, 2020","Kangana Ranaut, who has been engaged in a war of words with the Shiv Sena over comments against Mumbai Police, returned to the city to a partially demolished office Wednesday.",Manasi Phadke ," 9 September, 2020"
"RSS shakhas set to return, but only where risk of Covid infection is low","Neelam Pandey - 9 September, 2020","RSS asks district units to consult public before starting shakhas again, says decision is in line with new govt guidelines allowing 100 people to gather.",Neelam Pandey ," 9 September, 2020"
Kangana Ranaut moves Bombay High Court challenging BMC’s ‘illegal construction’ notice,"PTI - 9 September, 2020","The BMC demolished the 'illegal alterations' at the actor's bungalow at Pali Hill in suburban Bandra Wednesday, a day after putting a stop-work notice on the structure.",PTI ," 9 September, 2020"
