Headlines,Summaries,Author,Date,Day,Month,Year,Day_Of_Week,Result_Headline,Result_Summary,Positive_Headline,Neutral_Headline,Negative_Headline,Positive_Summary,Neutral_Summary,Negative_Summary,Result_Headline_negative,Result_Headline_neutral,Result_Headline_positive,Result_Summary_negative,Result_Summary_neutral,Result_Summary_positive
nehru jp ambedkar — pranab mukherjee wasn ’ t non-sangh leader connect r,president pranab mukherjee ’ s visit r training camp created flutter 2018 congress root history throw example,Arun Anand ,9/1/2020,1,9,2020,1,neutral,neutral,0.01,0.98,0.01,0.0,1.0,0.0,0,1,0,0,1,0
army bust 2 militant hideout j & k ’ s baramulla recovers huge arm cache,srinagar militant hideout busted line control ( loc ) baramulla district jammu kashmir huge cache ...,PTI ,9/1/2020,1,9,2020,1,neutral,negative,0.01,0.95,0.04,0.01,0.37,0.62,0,1,0,1,0,0
suresh raina ’ s cousin dy day attack robber pathankot,attack suresh raina relative week led cricketer pulling ipl tournament uae return home,PTI ,9/1/2020,1,9,2020,1,negative,negative,0.0,0.01,0.99,0.02,0.46,0.52,1,0,0,1,0,0
ex-assam cm tarun gogoi suffering covid given plasma therapy health deteriorates,condition 85-year-old cm deteriorated sudden fall oxygen saturation level gogoi tested positive covid 25 august,PTI ,9/1/2020,1,9,2020,1,negative,neutral,0.0,0.16,0.84,0.04,0.56,0.4,1,0,0,0,1,0
karnataka govt allows club restaurant serve liquor 50 % seating capacity,order excise commissioner said relaxation place state like assam punjab haryana rajasthan,PTI ,9/1/2020,1,9,2020,1,neutral,neutral,0.0,1.0,0.0,0.33,0.66,0.01,0,1,0,0,1,0
bombay hc refuse stay jee-main say unable reach centre seek re-examination,nagpur bench said national testing agency shall consider application student seeking re-examination decide checking veracity 15 day,PTI ,9/1/2020,1,9,2020,1,negative,neutral,0.0,0.04,0.96,0.01,0.97,0.02,1,0,0,0,1,0
du registration process end today receives highest number application 3 year,"varsity received 2,85,128 application cbse board student followed 12,272 board school education haryana & 11,521 council isce",PTI ,9/1/2020,1,9,2020,1,neutral,neutral,0.01,0.99,0.0,0.0,1.0,0.0,0,1,0,0,1,0
president kovind pm modi pay respect pranab mukherjee,mukherjee mortal remains brought residence 10 rajaji marg earlier today army hospital breathed monday,PTI ,9/1/2020,1,9,2020,1,neutral,neutral,0.17,0.81,0.02,0.04,0.88,0.08,0,1,0,0,1,0
bastar tribals cm baghel ’ s oppose privatisation nmdc steel plant,raipur tribal leader chhattisgarh ’ s bastar planning join force protest privatisation plan under-construction nmdc iron steel ...,Prithviraj Singh ,9/1/2020,1,9,2020,1,neutral,neutral,0.01,0.86,0.13,0.0,0.69,0.31,0,1,0,0,1,0
"nearly 70,000 testing positive day india ’ s covid tally rise 36.9 lakh","death toll climbed 65,288 819 fatality reported 24 hour fatality rate declined 1.77 cent",PTI ,9/1/2020,1,9,2020,1,neutral,negative,0.05,0.94,0.01,0.0,0.04,0.96,0,1,0,1,0,0
"nearly 70,000 testing positive day india ’ s covid tally rise 36.9 lakh","death toll climbed 65,288 819 fatality reported 24 hour fatality rate declined 1.77 cent",PTI ,9/1/2020,1,9,2020,1,neutral,negative,0.05,0.94,0.01,0.0,0.04,0.96,0,1,0,1,0,0
process challenge nrc exclusion assam start today year halted,nrc finalised assam year 19 lakh people find name list haven ’ t able challenge exclusion foreigner tribunal far,Bismee Taskin ,9/1/2020,1,9,2020,1,negative,negative,0.05,0.45,0.5,0.01,0.06,0.93,1,0,0,1,0,0
bengal get nodal officer coordinate state kolkata police new post creates flutter,kalighat oc santanu sinha biswas coordinate bengal & kolkata police certain matter cm mamata banerjee ’ s house come biswas ’ s jurisdiction,Madhuparna Das ,8/31/2020,31,8,2020,0,neutral,neutral,0.01,0.95,0.04,0.0,1.0,0.0,0,1,0,0,1,0
